Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"DEFB1","Defensin Beta 1","Protein Coding","P60022","50","GC08M006870","3.25687766075134","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DEFB1"
"MIR431","MicroRNA 431","RNA Gene","","26","GC14P118050","3.252685546875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR431"
"NUP210","Nucleoporin 210","Protein Coding","Q8TEM1","51","GC03M027393","3.24893283843994","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP210"
"TUBA1C","Tubulin Alpha 1c","Protein Coding","Q9BQE3","55","GC12P049188","3.24796652793884","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBA1C"
"MICAL1","Microtubule Associated Monooxygenase, Calponin And LIM Domain Containing 1","Protein Coding","Q8TDZ2","52","GC06M109444","3.24736428260803","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MICAL1"
"HOXD4","Homeobox D4","Protein Coding","P09016","44","GC02P176408","3.24555158615112","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXD4"
"LRPAP1","LDL Receptor Related Protein Associated Protein 1","Protein Coding","P30533","56","GC04M005759","3.24279117584229","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRPAP1"
"PPL","Periplakin","Protein Coding","O60437","50","GC16M027123","3.24263548851013","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPL"
"TMEM106B","Transmembrane Protein 106B","Protein Coding","Q9NUM4","52","GC07P015609","3.24135613441467","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM106B"
"MIR655","MicroRNA 655","RNA Gene","","20","GC14P119085","3.23873710632324","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR655"
"FBL","Fibrillarin","Protein Coding","P22087","55","GC19M039834","3.23837447166443","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBL"
"B3GLCT","Beta 3-Glucosyltransferase","Protein Coding","Q6Y288","51","GC13P031220","3.23824262619019","https://www.genecards.org/cgi-bin/carddisp.pl?gene=B3GLCT"
"MCM5","Minichromosome Maintenance Complex Component 5","Protein Coding","P33992","58","GC22P035400","3.23743867874146","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCM5"
"P4HA2","Prolyl 4-Hydroxylase Subunit Alpha 2","Protein Coding","O15460","56","GC05M132193","3.23698282241821","https://www.genecards.org/cgi-bin/carddisp.pl?gene=P4HA2"
"RAPGEF4","Rap Guanine Nucleotide Exchange Factor 4","Protein Coding","Q8WZA2","54","GC02P172735","3.23634719848633","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAPGEF4"
"BUD23","BUD23 RRNA Methyltransferase And Ribosome Maturation Factor","Protein Coding","O43709","45","GC07P090575","3.23488759994507","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BUD23"
"IFT88","Intraflagellar Transport 88","Protein Coding","Q13099","54","GC13P020875","3.23389387130737","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFT88"
"HOXD10","Homeobox D10","Protein Coding","P28358","49","GC02P176108","3.23326396942139","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXD10"
"MAGI3","Membrane Associated Guanylate Kinase, WW And PDZ Domain Containing 3","Protein Coding","Q5TCQ9","43","GC01P113390","3.23290538787842","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAGI3"
"HPR","Haptoglobin-Related Protein","Protein Coding","P00739","51","GC16P106130","3.23054456710815","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HPR"
"OTUD3","OTU Deubiquitinase 3","Protein Coding","Q5T2D3","43","GC01P060807","3.23027920722961","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OTUD3"
"MELK","Maternal Embryonic Leucine Zipper Kinase","Protein Coding","Q14680","58","GC09P036572","3.22989225387573","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MELK"
"IFNA7","Interferon Alpha 7","Protein Coding","P01567","44","GC09M022226","3.2292628288269","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA7"
"DDOST","Dolichyl-Diphosphooligosaccharide--Protein Glycosyltransferase Non-Catalytic Subunit","Protein Coding","P39656","57","GC01M020651","3.22715926170349","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDOST"
"BEND3","BEN Domain Containing 3","Protein Coding","Q5T5X7","42","GC06M107660","3.22715091705322","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BEND3"
"SLC34A1","Solute Carrier Family 34 Member 1","Protein Coding","Q06495","56","GC05P188531","3.22666454315186","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC34A1"
"IL11RA","Interleukin 11 Receptor Subunit Alpha","Protein Coding","Q14626","56","GC09P060025","3.2265031337738","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL11RA"
"PINCR","P53-Induced Noncoding RNA","RNA Gene","","18","GC0XP043183","3.22583436965942","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PINCR"
"GUCY2D","Guanylate Cyclase 2D, Retinal","Protein Coding","Q02846","57","GC17P008002","3.22538733482361","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GUCY2D"
"ZNF750","Zinc Finger Protein 750","Protein Coding","Q32MQ0","46","GC17M082829","3.22448682785034","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF750"
"AHDC1","AT-Hook DNA Binding Motif Containing 1","Protein Coding","Q5TGY3","47","GC01M027534","3.22428154945374","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AHDC1"
"RPS8","Ribosomal Protein S8","Protein Coding","P62241","49","GC01P044775","3.22359371185303","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS8"
"SSBP1","Single Stranded DNA Binding Protein 1","Protein Coding","Q04837","53","GC07P163092","3.22353839874268","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SSBP1"
"RNH1","Ribonuclease/Angiogenin Inhibitor 1","Protein Coding","P13489","50","GC11M013219","3.2212929725647","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNH1"
"LINC01569","Long Intergenic Non-Protein Coding RNA 1569","RNA Gene","","18","GC16M027081","3.22007918357849","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01569"
"RPL38","Ribosomal Protein L38","Protein Coding","P63173","48","GC17P134542","3.21845197677612","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL38"
"CDCA7L","Cell Division Cycle Associated 7 Like","Protein Coding","Q96GN5","50","GC07M021900","3.21793603897095","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDCA7L"
"FOXK1","Forkhead Box K1","Protein Coding","P85037","43","GC07P004682","3.21662783622742","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXK1"
"BRCC3","BRCA1/BRCA2-Containing Complex Subunit 3","Protein Coding","P46736","55","GC0XP155071","3.21657514572144","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCC3"
"NUCB1","Nucleobindin 1","Protein Coding","Q02818","51","GC19P048900","3.21587753295898","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUCB1"
"MARK2","Microtubule Affinity Regulating Kinase 2","Protein Coding","Q7KZI7","59","GC11P063838","3.21508407592773","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MARK2"
"UBTF","Upstream Binding Transcription Factor","Protein Coding","P17480","56","GC17M044205","3.21333169937134","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBTF"
"MIR1-1","MicroRNA 1-1","RNA Gene","","26","GC20P068072","3.21234154701233","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1-1"
"LOC109611593","RUNX2 P1 Promoter Region","Functional Element","","3","GC06P165052","3.21195149421692","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC109611593"
"TOB1","Transducer Of ERBB2, 1","Protein Coding","P50616","51","GC17M050862","3.20998978614807","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOB1"
"NXF1","Nuclear RNA Export Factor 1","Protein Coding","Q9UBU9","52","GC11M132689","3.20831251144409","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NXF1"
"BHMT","Betaine--Homocysteine S-Methyltransferase","Protein Coding","Q93088","55","GC05P079111","3.20823502540588","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BHMT"
"ALDH3A1","Aldehyde Dehydrogenase 3 Family Member A1","Protein Coding","P30838","58","GC17M019737","3.20705223083496","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDH3A1"
"NFAT5","Nuclear Factor Of Activated T Cells 5","Protein Coding","O94916","53","GC16P069565","3.20619487762451","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFAT5"
"DDX39A","DExD-Box Helicase 39A","Protein Coding","O00148","47","GC19M014408","3.20569658279419","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX39A"
"SPTAN1","Spectrin Alpha, Non-Erythrocytic 1","Protein Coding","Q13813","61","GC09P128552","3.20569252967834","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPTAN1"
"PCBP2","Poly(RC) Binding Protein 2","Protein Coding","Q15366","53","GC12P053452","3.20216464996338","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCBP2"
"LINC01235","Long Intergenic Non-Protein Coding RNA 1235","RNA Gene","","20","GC09M013407","3.20209360122681","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01235"
"SLC30A8","Solute Carrier Family 30 Member 8","Protein Coding","Q8IWU4","53","GC08P116950","3.20200967788696","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC30A8"
"TRIM2","Tripartite Motif Containing 2","Protein Coding","Q9C040","52","GC04P153152","3.20105028152466","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM2"
"SHOX","SHOX Homeobox","Protein Coding","O15266","50","GC0XP000624","3.20054173469543","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHOX"
"KLK15","Kallikrein Related Peptidase 15","Protein Coding","Q9H2R5","52","GC19M050825","3.19985342025757","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLK15"
"ATP2B1-AS1","ATP2B1 Antisense RNA 1","RNA Gene","","20","GC12P089728","3.19963145256042","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP2B1-AS1"
"H2AZ2","H2A.Z Variant Histone 2","Protein Coding","Q71UI9","46","GC07M045531","3.19874095916748","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2AZ2"
"H2BC5","H2B Clustered Histone 5","Protein Coding","P58876","45","GC06P164135","3.19859433174133","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2BC5"
"TES","Testin LIM Domain Protein","Protein Coding","Q9UGI8","48","GC07P116210","3.19858026504517","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TES"
"CYP4V2","Cytochrome P450 Family 4 Subfamily V Member 2","Protein Coding","Q6ZWL3","51","GC04P186191","3.1975200176239","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP4V2"
"KCNQ1DN","KCNQ1 Downstream Neighbor","RNA Gene","Q9H478","30","GC11P002869","3.19713616371155","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNQ1DN"
"GPR4","G Protein-Coupled Receptor 4","Protein Coding","P46093","49","GC19M045589","3.196120262146","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR4"
"PIK3R5","Phosphoinositide-3-Kinase Regulatory Subunit 5","Protein Coding","Q8WYR1","56","GC17M008878","3.19453620910645","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3R5"
"AP1S3","Adaptor Related Protein Complex 1 Subunit Sigma 3","Protein Coding","Q96PC3","49","GC02M223667","3.19410610198975","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AP1S3"
"IQCB1","IQ Motif Containing B1","Protein Coding","Q15051","54","GC03M121769","3.19356775283813","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IQCB1"
"MEST","Mesoderm Specific Transcript","Protein Coding","Q5EB52","51","GC07P130486","3.19271993637085","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEST"
"LOC107980440","ABL Breakpoint Recombination Region","Functional Element","","9","GC09P130710","3.19162678718567","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC107980440"
"RASSF6","Ras Association Domain Family Member 6","Protein Coding","Q6ZTQ3","44","GC04M073571","3.18880724906921","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RASSF6"
"IRF9","Interferon Regulatory Factor 9","Protein Coding","Q00978","57","GC14P024161","3.1880669593811","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF9"
"SAV1","Salvador Family WW Domain Containing Protein 1","Protein Coding","Q9H4B6","46","GC14M050632","3.18692231178284","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SAV1"
"MIR559","MicroRNA 559","RNA Gene","","18","GC02P047377","3.18628573417664","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR559"
"ZMYND8","Zinc Finger MYND-Type Containing 8","Protein Coding","Q9ULU4","51","GC20M047209","3.18502640724182","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZMYND8"
"PPP1R15A","Protein Phosphatase 1 Regulatory Subunit 15A","Protein Coding","O75807","52","GC19P048872","3.18468523025513","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1R15A"
"RBM14","RNA Binding Motif Protein 14","Protein Coding","Q96PK6","51","GC11P099068","3.18346691131592","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM14"
"PAX4","Paired Box 4","Protein Coding","O43316","52","GC07M127610","3.18233704566956","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAX4"
"MIR613","MicroRNA 613","RNA Gene","","21","GC12P047019","3.18154239654541","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR613"
"NRXN2","Neurexin 2","Protein Coding","Q9P2S2","52","GC11M132755","3.18125700950623","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRXN2"
"MIR301B","MicroRNA 301b","RNA Gene","","23","GC22P080935","3.18064451217651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR301B"
"MYO6","Myosin VI","Protein Coding","Q9UM54","55","GC06P075749","3.18043613433838","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYO6"
"HTRA2","HtrA Serine Peptidase 2","Protein Coding","O43464","59","GC02P074529","3.17946290969849","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTRA2"
"AKR1C2","Aldo-Keto Reductase Family 1 Member C2","Protein Coding","P52895","58","GC10M004987","3.17896819114685","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKR1C2"
"ACO2","Aconitase 2","Protein Coding","Q99798","58","GC22P081624","3.1773157119751","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACO2"
"MIR577","MicroRNA 577","RNA Gene","","22","GC04P114656","3.17663431167603","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR577"
"TLR6","Toll Like Receptor 6","Protein Coding","Q9Y2C9","57","GC04M038828","3.17601108551025","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR6"
"EXD3","Exonuclease 3'-5' Domain Containing 3","Protein Coding","Q8N9H8","38","GC09M137306","3.17595672607422","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EXD3"
"COLEC11","Collectin Subfamily Member 11","Protein Coding","Q9BWP8","52","GC02P003594","3.17509818077087","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COLEC11"
"CYB5A","Cytochrome B5 Type A","Protein Coding","P00167","56","GC18M074250","3.17438316345215","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYB5A"
"TIPIN","TIMELESS Interacting Protein","Protein Coding","Q9BVW5","50","GC15M066336","3.17433214187622","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIPIN"
"PHKB","Phosphorylase Kinase Regulatory Subunit Beta","Protein Coding","Q93100","55","GC16P105306","3.17178344726563","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHKB"
"NEIL1","Nei Like DNA Glycosylase 1","Protein Coding","Q96FI4","51","GC15P075346","3.17139196395874","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEIL1"
"TMOD1","Tropomodulin 1","Protein Coding","P28289","51","GC09P097501","3.1698842048645","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMOD1"
"MT3","Metallothionein 3","Protein Coding","P25713","52","GC16P056589","3.16835784912109","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT3"
"APOBEC1","Apolipoprotein B MRNA Editing Enzyme Catalytic Subunit 1","Protein Coding","P41238","50","GC12M007649","3.16805982589722","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOBEC1"
"CTBP1-DT","CTBP1 Divergent Transcript","RNA Gene","C0HM98","21","GC04P005858","3.16669106483459","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTBP1-DT"
"MIR940","MicroRNA 940","RNA Gene","","21","GC16P002271","3.16608619689941","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR940"
"PSMD14","Proteasome 26S Subunit, Non-ATPase 14","Protein Coding","O00487","55","GC02P161308","3.16608142852783","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMD14"
"EIF4A3","Eukaryotic Translation Initiation Factor 4A3","Protein Coding","P38919","56","GC17M090521","3.1649956703186","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF4A3"
"EVC2","EvC Ciliary Complex Subunit 2","Protein Coding","Q86UK5","51","GC04M005844","3.16492891311646","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EVC2"
"TCF20","Transcription Factor 20","Protein Coding","Q9UGU0","50","GC22M042160","3.16450905799866","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCF20"
"PDHA1","Pyruvate Dehydrogenase E1 Subunit Alpha 1","Protein Coding","P08559","60","GC0XP019343","3.16415023803711","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDHA1"
"DCD","Dermcidin","Protein Coding","P81605","48","GC12M054644","3.16241097450256","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCD"
"ACAT1","Acetyl-CoA Acetyltransferase 1","Protein Coding","P24752","63","GC11P108121","3.16005229949951","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACAT1"
"CNOT1","CCR4-NOT Transcription Complex Subunit 1","Protein Coding","A5YKK6","53","GC16M058519","3.15986776351929","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNOT1"
"AHI1","Abelson Helper Integration Site 1","Protein Coding","Q8N157","53","GC06M135283","3.15923976898193","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AHI1"
"DLGAP5","DLG Associated Protein 5","Protein Coding","Q15398","51","GC14M055148","3.15810966491699","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLGAP5"
"CNTLN","Centlein","Protein Coding","Q9NXG0","47","GC09P017124","3.15772604942322","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNTLN"
"RALGAPA2","Ral GTPase Activating Protein Catalytic Subunit Alpha 2","Protein Coding","Q2PPJ7","47","GC20M020374","3.15691089630127","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RALGAPA2"
"MIR1179","MicroRNA 1179","RNA Gene","","18","GC15P088608","3.15640711784363","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1179"
"COASY","Coenzyme A Synthase","Protein Coding","Q13057","57","GC17P042561","3.15542411804199","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COASY"
"STEAP2","STEAP2 Metalloreductase","Protein Coding","Q8NFT2","51","GC07P090167","3.15459251403809","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STEAP2"
"NR2E3","Nuclear Receptor Subfamily 2 Group E Member 3","Protein Coding","Q9Y5X4","54","GC15P071792","3.15277910232544","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR2E3"
"CALB1","Calbindin 1","Protein Coding","P05937","55","GC08M090058","3.15172100067139","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALB1"
"HNRNPA3","Heterogeneous Nuclear Ribonucleoprotein A3","Protein Coding","P51991","50","GC02P177212","3.15142011642456","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPA3"
"SNHG4","Small Nucleolar RNA Host Gene 4","RNA Gene","","25","GC05P139273","3.1512496471405","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNHG4"
"VAV2","Vav Guanine Nucleotide Exchange Factor 2","Protein Coding","P52735","52","GC09M133761","3.15107655525208","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VAV2"
"KCNAB3","Potassium Voltage-Gated Channel Subfamily A Regulatory Beta Subunit 3","Protein Coding","O43448","48","GC17M088318","3.15097856521606","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNAB3"
"GRIN1","Glutamate Ionotropic Receptor NMDA Type Subunit 1","Protein Coding","Q05586","63","GC09P137138","3.15094232559204","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIN1"
"GPX5","Glutathione Peroxidase 5","Protein Coding","O75715","50","GC06P028525","3.14914131164551","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPX5"
"GNG2","G Protein Subunit Gamma 2","Protein Coding","P59768","51","GC14P051826","3.14761590957642","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNG2"
"PSMB5","Proteasome 20S Subunit Beta 5","Protein Coding","P28074","55","GC14M023016","3.14597654342651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMB5"
"ENPEP","Glutamyl Aminopeptidase","Protein Coding","Q07075","58","GC04P110365","3.14528226852417","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENPEP"
"NMB","Neuromedin B","Protein Coding","P08949","51","GC15M084655","3.14462232589722","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMB"
"ARHGEF4","Rho Guanine Nucleotide Exchange Factor 4","Protein Coding","Q9NR80","53","GC02P130836","3.14447546005249","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARHGEF4"
"DUT","Deoxyuridine Triphosphatase","Protein Coding","P33316","55","GC15P048331","3.14439678192139","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUT"
"PLIN3","Perilipin 3","Protein Coding","O60664","54","GC19M100043","3.14431262016296","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLIN3"
"REPS1","RALBP1 Associated Eps Domain Containing 1","Protein Coding","Q96D71","49","GC06M138903","3.13955783843994","https://www.genecards.org/cgi-bin/carddisp.pl?gene=REPS1"
"LINC00689","Long Intergenic Non-Protein Coding RNA 689","RNA Gene","","22","GC07P159006","3.13844418525696","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00689"
"PIWIL2","Piwi Like RNA-Mediated Gene Silencing 2","Protein Coding","Q8TC59","46","GC08P022275","3.13543558120728","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIWIL2"
"SLC39A7","Solute Carrier Family 39 Member 7","Protein Coding","Q92504","54","GC06P033200","3.13531470298767","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC39A7"
"LAMC1-AS1","LAMC1 Antisense RNA 1","RNA Gene","","20","GC01M183138","3.13484191894531","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LAMC1-AS1"
"SDS","Serine Dehydratase","Protein Coding","P20132","50","GC12M113392","3.13046860694885","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDS"
"ACTR2","Actin Related Protein 2","Protein Coding","P61160","54","GC02P065227","3.12981796264648","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTR2"
"SERPINF2","Serpin Family F Member 2","Protein Coding","P08697","57","GC17P001742","3.12960720062256","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINF2"
"TRPM7","Transient Receptor Potential Cation Channel Subfamily M Member 7","Protein Coding","Q96QT4","56","GC15M050552","3.12893152236938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPM7"
"MCM3AP","Minichromosome Maintenance Complex Component 3 Associated Protein","Protein Coding","O60318","52","GC21M046235","3.12860107421875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCM3AP"
"GIP","Gastric Inhibitory Polypeptide","Protein Coding","P09681","48","GC17M048958","3.12849164009094","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GIP"
"NUP35","Nucleoporin 35","Protein Coding","Q8NFH5","45","GC02P183117","3.12781953811646","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP35"
"REV1","REV1 DNA Directed Polymerase","Protein Coding","Q9UBZ9","53","GC02M101727","3.1275532245636","https://www.genecards.org/cgi-bin/carddisp.pl?gene=REV1"
"CALCOCO2","Calcium Binding And Coiled-Coil Domain 2","Protein Coding","Q13137","50","GC17P134050","3.12585663795471","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALCOCO2"
"MORF4L1","Mortality Factor 4 Like 1","Protein Coding","Q9UBU8","51","GC15P078810","3.12525868415833","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MORF4L1"
"SSX2B","SSX Family Member 2B","Protein Coding","Q16385","30","GC0XP059415","3.12373328208923","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SSX2B"
"NLRP5","NLR Family Pyrin Domain Containing 5","Protein Coding","P59047","50","GC19P133723","3.12138199806213","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLRP5"
"SMAD5","SMAD Family Member 5","Protein Coding","Q99717","55","GC05P136132","3.12084770202637","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD5"
"DNAJB12","DnaJ Heat Shock Protein Family (Hsp40) Member B12","Protein Coding","Q9NXW2","47","GC10M072332","3.11964750289917","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAJB12"
"ASAP1","ArfGAP With SH3 Domain, Ankyrin Repeat And PH Domain 1","Protein Coding","Q9ULH1","50","GC08M130052","3.11829662322998","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASAP1"
"URB1","URB1 Ribosome Biogenesis Homolog","Protein Coding","O60287","41","GC21M032312","3.11829471588135","https://www.genecards.org/cgi-bin/carddisp.pl?gene=URB1"
"SBDSP1","SBDS Pseudogene 1","Pseudogene","","19","GC07P090477","3.11760544776917","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SBDSP1"
"GMNN","Geminin DNA Replication Inhibitor","Protein Coding","O75496","57","GC06P024779","3.11714243888855","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GMNN"
"BOP1","BOP1 Ribosomal Biogenesis Factor","Protein Coding","Q14137","45","GC08M144262","3.11675930023193","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BOP1"
"RPS16","Ribosomal Protein S16","Protein Coding","P62249","53","GC19M039433","3.11664438247681","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS16"
"LMO7","LIM Domain 7","Protein Coding","Q8WWI1","50","GC13P075620","3.11455869674683","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMO7"
"PEA15","Proliferation And Apoptosis Adaptor Protein 15","Protein Coding","Q15121","53","GC01P160205","3.11417460441589","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PEA15"
"TBL1Y","Transducin Beta Like 1 Y-Linked","Protein Coding","Q9BQ87","45","GC0YP006910","3.11385631561279","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBL1Y"
"MEIS2","Meis Homeobox 2","Protein Coding","O14770","54","GC15M036889","3.11384677886963","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEIS2"
"FMO3","Flavin Containing Dimethylaniline Monoxygenase 3","Protein Coding","P31513","58","GC01P171090","3.11346530914307","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FMO3"
"RNF20","Ring Finger Protein 20","Protein Coding","Q5VTR2","51","GC09P101533","3.1130199432373","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF20"
